S.No,startup_name,industry,city,state,funding_requested,valuation_requested,received_offer,accepted_offer,funding_received,investors
372,UrbanSpace,Lifestyle/Home,Ahmedabad,Gujarat,180,18000,1,0,,
373,HyperLab,Fitness/Sports/Outdoors,Ahmedabad,Gujarat,10,1000,1,1,25,
374,EcoBiotraps,Green/CleanTech,"Ahmedabad,Pune","Gujarat,Maharashtra",50,2500,1,0,,
375,Hoora,Technology/Software,Nagpur,Maharashtra,80,4000,0,,,
376,YesMadam,Beauty/Fashion,Delhi,Delhi,150,30000,1,1,150,
377,Zerodor,Lifestyle/Home,"Ahmedabad,Mumbai","Gujarat,Maharashtra",100,3333.333333,1,0,,
378,ToffeeCoffeeRoasters,Food and Beverage,Bangalore,Karnataka,60,3000,1,1,35,
379,PushSports,Fitness/Sports/Outdoors,Delhi,Delhi,80,8000,1,1,80,
380,ORBO,Technology/Software,Mumbai,Maharashtra,100,13333.33333,1,1,100,
381,CannazoIndia,Beauty/Fashion,Mumbai,Maharashtra,150,3000,1,0,,
382,Chefling,Food and Beverage,Mumbai,Maharashtra,40,400,1,1,40,Azhar Iqubal
383,IntenseFocus,Beauty/Fashion,,,500,10000,0,,,
384,MilletAmma,Food and Beverage,Bangalore,Karnataka,100,3333.333333,0,,,
385,D'chica,Beauty/Fashion,Delhi,Delhi,80,8000,1,1,80,
386,Refit,Electronics,Delhi,Delhi,200,40000,1,1,200,
387,HouseOfBeautyIndia,Beauty/Fashion,Delhi,Delhi,150,3000,0,,,
388,Artinci,Food and Beverage,Bangalore,Karnataka,50,2857.142857,1,1,50,
389,TheRageRoom,Business Services,Hyderabad,Telangana,20,66.66666667,0,,,
390,Aastey,Beauty/Fashion,"Delhi,Mumbai","Delhi,Maharashtra",80,4000,0,,,
391,Matri,Medical/Health,Kolkata,West Bengal,60,1500,1,1,60,
392,Rubbabu,Manufacturing,Delhi,Delhi,200,4000,0,,,
393,GulaboJaipur,Beauty/Fashion,Jaipur,Rajasthan,90,9000,0,,,
394,AristaVault,Manufacturing,Delhi,Delhi,45,3000,1,1,20,
395,ToHands,Technology/Software,"Erode,Kanpur","Tamil Nadu,Uttar Pradesh",55,5500,1,1,60,"Varun Dua,Radhika Gupta"
396,PlusGold,Technology/Software,Bangalore,Karnataka,60,6000,1,1,60,Varun Dua
397,Aroleap,Medical/Health,Bangalore,Karnataka,100,4000,1,1,100,Azhar Iqubal
398,Cosmix,Medical/Health,,,100,10000,1,1,100,
399,Fabriclore,Beauty/Fashion,Jaipur,Rajasthan,68.7,6870,0,,,
400,PolishMePretty,Beauty/Fashion,Pune,Maharashtra,25,100,1,1,25,
401,GridMats,Manufacturing,,,500,25000,0,,,
402,UnclePetersPanCakes,Food and Beverage,"Kolkata,Varanasi","West Bengal,Uttar Pradesh",60,3000,1,1,60,
403,CreativeHatti,Business Services,Panchkula,Haryana,60,3000,0,,,
404,CandidMen,Beauty/Fashion,Bangalore,Karnataka,60,3000,1,1,60,
405,Flyrobe,Beauty/Fashion,Delhi,Delhi,50,5000,1,1,50,
406,WiseLife,Medical/Health,Gurugram,Haryana,60,3000,1,1,120,
407,Cervicheck,Medical/Health,Vadodara,Gujarat,75,5000,1,1,75,
408,Eatverse,Food and Beverage,Kolkata,West Bengal,100,10000,0,,,
409,AvataarSkincare,Beauty/Fashion,Bhopal,Madhya Pradesh,70,7000,1,1,35,
410,ChalteFirteMangalkaryalay,Business Services,Latur,Maharashtra,200,2000,0,,,
411,KryzenBiotech,Agriculture,Pune,Maharashtra,75,2500,1,1,75,
412,FOMO,Food and Beverage,Bangalore,Karnataka,35,875,1,1,35,
413,ModelVerse,Technology/Software,Kozhikode,Kerala,25,250,1,1,25,
414,VikrantBikes,Vehicles/Electrical Vehicles,Satara,Maharashtra,30,600,0,,,
